"Step","avg_reward","network_slicing_sac_training_1240 - rewards/eval_reward__MIN","network_slicing_sac_training_1240 - rewards/eval_reward__MAX"
"990","-8.719047368008217","-8.719047368008217","-8.719047368008217"
"1981","-16.265907750942027","-16.265907750942027","-16.265907750942027"
"2972","-18.422605551996725","-18.422605551996725","-18.422605551996725"
"3963","-12.518676482345313","-12.518676482345313","-12.518676482345313"
"4954","-0.8667474169872225","-0.8667474169872225","-0.8667474169872225"
"5945","5.897826689405692","5.897826689405692","5.897826689405692"
"6936","5.268122534526924","5.268122534526924","5.268122534526924"
"7927","5.286448049436045","5.286448049436045","5.286448049436045"
"8918","3.9898306313571767","3.9898306313571767","3.9898306313571767"
"9909","2.3533257514437986","2.3533257514437986","2.3533257514437986"
"10900","5.052424757618823","5.052424757618823","5.052424757618823"
"11891","4.086431173002175","4.086431173002175","4.086431173002175"
"12882","3.47923331964694","3.47923331964694","3.47923331964694"
"13873","5.354996645794474","5.354996645794474","5.354996645794474"
"14864","5.588751655504083","5.588751655504083","5.588751655504083"
"15855","7.091605926727292","7.091605926727292","7.091605926727292"
"16846","5.331231324585778","5.331231324585778","5.331231324585778"
"17837","5.289641212781163","5.289641212781163","5.289641212781163"
"18828","6.129436695582548","6.129436695582548","6.129436695582548"
"19819","4.678764328144327","4.678764328144327","4.678764328144327"
"20810","6.136483390474989","6.136483390474989","6.136483390474989"
"21801","6.3207727710718755","6.3207727710718755","6.3207727710718755"
"22792","5.8242125247154615","5.8242125247154615","5.8242125247154615"
