"Step","rl_config.agent: baseline_delay - delay/slice_0_delay_violation_rate","rl_config.agent: baseline_delay - delay/slice_0_delay_violation_rate__MIN","rl_config.agent: baseline_delay - delay/slice_0_delay_violation_rate__MAX","rl_config.agent: sac - delay/slice_0_delay_violation_rate","rl_config.agent: sac - delay/slice_0_delay_violation_rate__MIN","rl_config.agent: sac - delay/slice_0_delay_violation_rate__MAX","rl_config.agent: cql - delay/slice_0_delay_violation_rate","rl_config.agent: cql - delay/slice_0_delay_violation_rate__MIN","rl_config.agent: cql - delay/slice_0_delay_violation_rate__MAX","rl_config.agent: baseline - delay/slice_0_delay_violation_rate","rl_config.agent: baseline - delay/slice_0_delay_violation_rate__MIN","rl_config.agent: baseline - delay/slice_0_delay_violation_rate__MAX"
"0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","0.3181818181818182","0","3.3333333333333335","0.3125","0","3.1730769230769234","0.2975427350427351","0","3.1730769230769234","0","0","0"
"2","1.5712801087801087","0","14.333333333333334","1.5442461949814892","0","14.583333333333334","1.779230479173918","0","15","0.1794871794871795","0","3.58974358974359"
"3","3.5261322011322016","0","20","2.686813186813187","0","20","3.217948717948718","0","20","1.3866758241758241","0","12.5"
"4","4.617433658998344","0","20.32174556213018","3.3380138380138376","0","20","3.60809364548495","0","20","2.310200372884197","0","15.384615384615385"
"5","4.807290830165325","0","21.428571428571427","4.361412380404254","0","23.846153846153847","4.903172807584573","0","24.583333333333332","4.083333333333334","0","20"
"6","7.017643053914045","0","51.09700722394221","4.090672612411743","0","25","4.8339740754601435","0","25","3.3275307423914233","0","17.352941176470587"
"7","8.566841048001335","0","62.065741276267595","3.738733985537055","0","25","4.489071508201943","0","25","3.2606837606837606","0","16.666666666666668"
"8","6.390818730067563","0","34.83599126337853","4.150022492127755","0","25","4.606227106227106","0","25","4.02014652014652","0","16.666666666666668"
"9","8.722269970858488","0","40.23415977961432","4.064439946018894","0","25","4.763450091575092","0","25","4.161387631975868","0","16.666666666666668"
"10","7.626821740189411","0","43.33639846743294","4.344990389727231","0","25","5.101628505653274","0","25","4.36941391941392","0","19.666666666666664"
"11","4.535506976683448","0","22.672882672882672","4.841986187187426","0","25","5.236467236467236","0","26.111111111111114","4.993610190978612","0","20"
"12","10.46452523511347","0","93.04812834224599","4.618528401423139","0","25","5.2655677655677655","0","25","4.828368526897938","0","20"
"13","10.20956604566488","0","59.55390729233514","4.599527665317139","0","25","5.294668294668295","0","25","5.376721351905176","0","20"
"14","7.904181568437454","0","45.38461538461539","4.764957264957266","0","25","5.402159244264507","0","25","6.237271646482173","0","30.701754385964914"
"15","9.393156086356608","0","59.11463455122561","4.404615384615385","0","25","5.384615384615385","0","25","6.1362102809471235","0","33.333333333333336"
"16","9.003043559404844","0","57.50132908027644","4.792338217338218","0","25","5.3627403846153845","0","25","5.895344851227205","0","33.333333333333336"
"17","10.525983582995954","0","88.57905982905983","5.138658216783217","0","25","5.3257918552036205","0","25","5.730861244019139","0","33.333333333333336"
"18","6.810081228361263","0","60.56526445978779","4.866096866096866","0","25","5.384615384615385","0","25","5.539160839160839","0","33.333333333333336"
"19","5.794923319923319","0","32.432432432432435","4.668026418026417","0","25","5.259577677224735","0","25","5.519716394716395","0","33.333333333333336"
"20","8.90742122219135","0","32.72727272727273","4.753036437246964","0","25","5.957532051282051","0","25","5.303446553446554","0","33.333333333333336"
"21","7.6695390944767325","0","24.816345270890725","5.472619047619047","0","25","6.3208735214733665","0","25","5.886445050047992","0","34.09090909090909"
"22","6.471506078085026","0","27.272727272727273","6.057303133070397","0","25","6.977564102564102","0","25","7.325849589007484","0","42.42424242424242"
"23","7.932480611708554","0","27.97202797202797","6.69061463046757","0","25","6.905017930425119","0","25","7.214738922404827","0","50"
"24","8.703221864097197","0","28.391409160639927","6.252627806975633","0","25","7.0107905778861666","0","27.941176470588232","7.312937062937064","0","50"
"25","8.302441370484582","0","31.40495867768595","6.546285822021116","0","25","7.2123965189222545","0","30","7.031440781440781","0","50"
"26","13.075166118355526","0","85.21613190730838","6.55972850678733","0","25","7.072115384615384","0","30","6.591325341325342","0","50"
"27","7.913347314804381","0","53.96210264883316","6.437609979889392","0","25","6.662753912753912","0","30","6.670203979027508","0","46.03174603174603"
"28","6.9663936063936065","0","28.444444444444443","6.6871987661461345","0","26.666666666666668","6.650213675213675","0","30","6.2508068854222705","0","33.333333333333336"
"29","9.533008995107986","0","44.921072796934865","6.876666666666665","0","26.666666666666668","6.693589743589745","0","30","6.62670529835331","0","38.23529411764706"
"30","10.202650255597284","0","33.55555555555556","6.248680241327301","0","26.666666666666668","6.696187584345479","0","30","6.467698967698968","0","33.333333333333336"
"31","11.988113415722044","0","39.67422027290448","6.949430961195667","0","28.529411764705884","7.041346153846154","0","30","6.986813898352361","0","33.333333333333336"
