"Step","rl_config.agent: sac - delay/slice_0_delay_violation_rate","rl_config.agent: sac - delay/slice_0_delay_violation_rate__MIN","rl_config.agent: sac - delay/slice_0_delay_violation_rate__MAX","rl_config.agent: cql - delay/slice_0_delay_violation_rate","rl_config.agent: cql - delay/slice_0_delay_violation_rate__MIN","rl_config.agent: cql - delay/slice_0_delay_violation_rate__MAX","rl_config.agent: baseline - delay/slice_0_delay_violation_rate","rl_config.agent: baseline - delay/slice_0_delay_violation_rate__MIN","rl_config.agent: baseline - delay/slice_0_delay_violation_rate__MAX"
"0","0","0","0","0","0","0","0","0","0"
"1","0.5769230769230769","0","1.1538461538461537","0.3571428571428571","0","0.7142857142857142","0","0","0"
"2","6.330128205128205","0","12.66025641025641","6.666666666666666","0","13.333333333333332","0","0","0"
"3","8.958333333333332","0","17.916666666666664","8.782051282051281","0","17.564102564102562","0.39473684210526316","0","0.7894736842105263"
"4","10","0","20","10","0","20","0.625","0","1.25"
"5","10","0","20","11.964285714285714","0","23.928571428571427","4.666666666666666","0","9.333333333333332"
"6","10","0","20","12.5","0","25","5","0","10"
"7","10","0","20","12.5","0","25","5","0","10"
"8","11.833333333333332","0","23.666666666666664","12.5","0","25","3.088235294117647","0","6.176470588235294"
"9","12.5","0","25","12.5","0","25","3.6111111111111116","0","7.222222222222223"
"10","12.5","0","25","12.5","0","25","2.5","0","5"
"11","12.5","0","25","12.5","0","25","4.705882352941177","0","9.411764705882353"
"12","12.5","0","25","12.5","0","25","3.3020833333333335","0","6.604166666666667"
"13","12.5","0","25","12.5","0","25","4.605263157894737","0","9.210526315789474"
"14","12.5","0","25","12.5","0","25","3.8235294117647056","0","7.647058823529411"
"15","12.5","0","25","12.5","0","25","5","0","10"
"16","12.5","0","25","12.5","0","25","5","0","10"
"17","12.5","0","25","12.5","0","25","5","0","10"
"18","12.5","0","25","12.5","0","25","5","0","10"
"19","12.833333333333332","0","25.666666666666664","12.5","0","25","5","0","10"
"20","15","0","30","12.5","0","25","3.75","0","7.5"
"21","15","0","30","12.5","0","25","5","0","10"
"22","15","0","30","12.5","0","25","5","0","10"
"23","15","0","30","12.5","0","25","4.333333333333333","0","8.666666666666666"
"24","15","0","30","12.5","0","25","5","0","10"
"25","13.014705882352942","0","26.029411764705884","12.65625","0","25.3125","5","0","10"
"26","12.5","0","25","12.5","0","25","5","0","10"
"27","12.5","0","25","12.5","0","25","5","0","10"
"28","12.5","0","25","12.5","0","25","5","0","10"
"29","12.5","0","25","12.5","0","25","5.555555555555555","0","11.11111111111111"
"30","12.5","0","25","12.5","0","25","5.657894736842105","0","11.31578947368421"
"31","12.5","0","25","12.5","0","25","6.315789473684211","0","12.631578947368421"
"32","12.5","0","25","12.5","0","25","7.5","0","15"
"33","12.5","0","25","12.5","0","25","7.5","0","15"
"34","12.5","0","25","12.5","0","25","7.34375","0","14.6875"
"35","12.5","0","25","12.5","0","25","7.5","0","15"
"36","12.5","0","25","12.5","0","25","5.833333333333333","0","11.666666666666666"
"37","12.5","0","25","12.5","0","25","5","0","10"
"38","12.5","0","25","12.5","0","25","5","0","10"
"39","12.5","0","25","12.5","0","25","5","0","10"
"40","12.5","0","25","12.5","0","25","5","0","10"
"41","12.5","0","25","12.5","0","25","5","0","10"
"42","12.5","0","25","12.5","0","25","5","0","10"
"43","12.5","0","25","12.5","0","25","5","0","10"
"44","12.5","0","25","12.5","0","25","5","0","10"
"45","12.5","0","25","12.5","0","25","6.617647058823529","0","13.235294117647058"
"46","12.5","0","25","12.5","0","25","7.5","0","15"
"47","12.5","0","25","12.5","0","25","7.5","0","15"
"48","12.5","0","25","13.166666666666668","0","26.333333333333336","7.5","0","15"
